Arguments:
  data_root: /dssg/home/acct-stu/stu177/DS-project/data
  save_root: /dssg/home/acct-stu/stu177/DS-project/checkpoints
  init_author_path: author_init.bin
  batch_size: 16384
  epochs: 100
  train_frac: 0.9
  dims: [256, 128, 64, 32]
  enhance: True
  from_dir: 9
  enhance_frac: 3.0
#authors: 6611, #papers: 79937
#(author, paper) edge in train set: 614179, in test set: 136484
#(paper, paper) edge in train set: 294402, in test set: 65422
#(author, author) edge in train set: 8697, in test set: 1932
#authors in train set: 6610
#papers in train set: 79660
#desired predicted author-author edges: 26091
#desired predicted author-paper edges: 1258947
#desired predicted paper-paper edges: 867630
#predicted author-author edges: 26091, min similarity is 0.9214
#predicted author-paper edges: 1258947, min similarity is 0.5811
#predicted paper-paper edges: 867630, min similarity is 0.9291
Graph(num_nodes={'author': 6611, 'paper': 79937},
      num_edges={('author', 'aa_pred', 'author'): 26091, ('author', 'ap_pred', 'paper'): 1258947, ('author', 'coauthor', 'author'): 24005, ('author', 'ref', 'paper'): 614179, ('paper', 'beref', 'author'): 614179, ('paper', 'cite', 'paper'): 668741, ('paper', 'pp_pred', 'paper'): 867630},
      metagraph=[('author', 'author', 'aa_pred'), ('author', 'author', 'coauthor'), ('author', 'paper', 'ap_pred'), ('author', 'paper', 'ref'), ('paper', 'author', 'beref'), ('paper', 'paper', 'cite'), ('paper', 'paper', 'pp_pred')])
Epoch 0: loss = 0.2477
Epoch 1: loss = 0.1122
Epoch 2: loss = 0.0918
Epoch 3: loss = 0.0812
Epoch 4: loss = 0.0733
Epoch 5: loss = 0.0677
Epoch 6: loss = 0.0639
Epoch 7: loss = 0.0601
Epoch 8: loss = 0.0579
Epoch 9: loss = 0.0557
Epoch 10: loss = 0.0531
Epoch 11: loss = 0.0518
Epoch 12: loss = 0.0503
Epoch 13: loss = 0.0489
Epoch 14: loss = 0.0478
Epoch 15: loss = 0.0468
Epoch 16: loss = 0.0459
Epoch 17: loss = 0.0451
Epoch 18: loss = 0.0441
Epoch 19: loss = 0.0431
Epoch 20: loss = 0.0425
Epoch 21: loss = 0.0424
Epoch 22: loss = 0.0409
Epoch 23: loss = 0.0405
Epoch 24: loss = 0.0400
Epoch 25: loss = 0.0393
Epoch 26: loss = 0.0388
Epoch 27: loss = 0.0386
Epoch 28: loss = 0.0379
Epoch 29: loss = 0.0377
Epoch 30: loss = 0.0374
Epoch 31: loss = 0.0366
Epoch 32: loss = 0.0363
Epoch 33: loss = 0.0360
Epoch 34: loss = 0.0355
Epoch 35: loss = 0.0352
Epoch 36: loss = 0.0352
Epoch 37: loss = 0.0349
Epoch 38: loss = 0.0343
Epoch 39: loss = 0.0341
Epoch 40: loss = 0.0338
Epoch 41: loss = 0.0333
Epoch 42: loss = 0.0335
Epoch 43: loss = 0.0332
Epoch 44: loss = 0.0329
Epoch 45: loss = 0.0327
Epoch 46: loss = 0.0326
Epoch 47: loss = 0.0321
Epoch 48: loss = 0.0318
Epoch 49: loss = 0.0318
Epoch 50: loss = 0.0316
Epoch 51: loss = 0.0311
Epoch 52: loss = 0.0312
Epoch 53: loss = 0.0311
Epoch 54: loss = 0.0308
Epoch 55: loss = 0.0306
Epoch 56: loss = 0.0303
Epoch 57: loss = 0.0305
Epoch 58: loss = 0.0301
Epoch 59: loss = 0.0303
Epoch 60: loss = 0.0299
Epoch 61: loss = 0.0296
Epoch 62: loss = 0.0297
Epoch 63: loss = 0.0293
Epoch 64: loss = 0.0292
Epoch 65: loss = 0.0293
Epoch 66: loss = 0.0293
Epoch 67: loss = 0.0289
Epoch 68: loss = 0.0291
Epoch 69: loss = 0.0288
Epoch 70: loss = 0.0286
Epoch 71: loss = 0.0286
Epoch 72: loss = 0.0283
Epoch 73: loss = 0.0283
Epoch 74: loss = 0.0284
Epoch 75: loss = 0.0283
Epoch 76: loss = 0.0280
Epoch 77: loss = 0.0278
Epoch 78: loss = 0.0279
Epoch 79: loss = 0.0277
Epoch 80: loss = 0.0276
Epoch 81: loss = 0.0279
Epoch 82: loss = 0.0275
Epoch 83: loss = 0.0273
Epoch 84: loss = 0.0273
Epoch 85: loss = 0.0274
Epoch 86: loss = 0.0271
Epoch 87: loss = 0.0272
Epoch 88: loss = 0.0269
Epoch 89: loss = 0.0271
Epoch 90: loss = 0.0271
Epoch 91: loss = 0.0269
Epoch 92: loss = 0.0270
Epoch 93: loss = 0.0271
Epoch 94: loss = 0.0261
Epoch 95: loss = 0.0265
Epoch 96: loss = 0.0265
Epoch 97: loss = 0.0263
Epoch 98: loss = 0.0263
Epoch 99: loss = 0.0263
Max f1 score of predicting reference edges: 0.9409 (precision = 0.9526, recall = 0.9296), threshold = -0.1170
Max f1 score of predicting citation edges: 0.8347 (precision = 0.8113, recall = 0.8595)
Max f1 score of predicting coauthor edges: 0.9809 (precision = 0.9804, recall = 0.9814)
